Actor/Actress	Movie	Year
BRUMPTON, JOHN	ROMPER STOMPER	1992
CROWE, RUSSELL	ROMPER STOMPER	1992
FOSTER, NEIL (I)	ROMPER STOMPER	1992
HALL, STEPHEN (I)	ROMPER STOMPER	1992
IENNA, MICHAEL	ROMPER STOMPER	1992
MCKENZIE, JACQUELINE (I)	ROMPER STOMPER	1992
WYLLIE, DAN (I)	ROMPER STOMPER	1992
BALDWIN, ALEC	NOTTING HILL	1999
BARTON, MISCHA	NOTTING HILL	1999
BHASKAR, SANJEEV	NOTTING HILL	1999
BONNEVILLE, HUGH	NOTTING HILL	1999
CALLOW, SIMON	NOTTING HILL	1999
CARAVAN, KENNETH W	NOTTING HILL	1999
CRONIN, SEAN (I)	NOTTING HILL	1999
DJALILI, OMID	NOTTING HILL	1999
DONN, RAY	NOTTING HILL	1999
FROST, ROGER (I)	NOTTING HILL	1999
GOODMAN, HENRY (I)	NOTTING HILL	1999
GRANT, HUGH (I)	NOTTING HILL	1999
IFANS, RHYS	NOTTING HILL	1999
MCCABE, RICHARD	NOTTING HILL	1999
MCINNERNY, TIM	NOTTING HILL	1999
MCKEE, GINA	NOTTING HILL	1999
MENEZES, JO„O COSTA	NOTTING HILL	1999
MODINE, MATTHEW	NOTTING HILL	1999
MORTIMER, EMILY	NOTTING HILL	1999
PACKHAM, TIM	NOTTING HILL	1999
PETERS, CLARKE	NOTTING HILL	1999
RHIND-TUTT, JULIAN	NOTTING HILL	1999
ROBERTS, JULIA (I)	NOTTING HILL	1999
SHRAPNEL, JOHN	NOTTING HILL	1999
VENEGAS, ARTURO	NOTTING HILL	1999
WEST, SAMUEL	NOTTING HILL	1999
ARTUS, ASHLEY	THE WISDOM OF CROCODILES	1998
DAVENPORT, JACK	THE WISDOM OF CROCODILES	1998
FOX, KERRY (I)	THE WISDOM OF CROCODILES	1998
HILLE, ANASTASIA	THE WISDOM OF CROCODILES	1998
LAW, JUDE	THE WISDOM OF CROCODILES	1998
LˆWENSOHN, ELINA	THE WISDOM OF CROCODILES	1998
SALMON, COLIN	THE WISDOM OF CROCODILES	1998
SPALL, TIMOTHY	THE WISDOM OF CROCODILES	1998
TANG, HON PING	THE WISDOM OF CROCODILES	1998
WU, TOM (I)	THE WISDOM OF CROCODILES	1998
COMSHAW, LISA (I)	SHINING BLOOD	1992
LAW, JOHN PHILLIP	SHINING BLOOD	1992
ALTERMAN, STEVE	PEOPLE LIKE US	2012
BANKS, ELIZABETH (II)	PEOPLE LIKE US	2012
BROCHU, DEVIN	PEOPLE LIKE US	2012
BROWNSTEIN, ROB	PEOPLE LIKE US	2012
BURKE, AL (II)	PEOPLE LIKE US	2012
DRIER, MOOSIE	PEOPLE LIKE US	2012
DUPLASS, MARK	PEOPLE LIKE US	2012
FARB, AARON	PEOPLE LIKE US	2012
FAVREAU, JON	PEOPLE LIKE US	2012
GARNER, JERALD	PEOPLE LIKE US	2012
HALL, PHILIP BAKER	PEOPLE LIKE US	2012
HARRIS, BARBARA EVE	PEOPLE LIKE US	2012
HUTTON, RIF	PEOPLE LIKE US	2012
PFEIFFER, MICHELLE	PEOPLE LIKE US	2012
PINE, CHRIS (I)	PEOPLE LIKE US	2012
TOMLINSON, LESHAY N.	PEOPLE LIKE US	2012
WILDE, OLIVIA	PEOPLE LIKE US	2012
ZYLER, DAVID	PEOPLE LIKE US	2012
DEHART, WAYNE	ROAD DOGS	2003
MILLER, TRACY (I)	ROAD DOGS	2003
PLUMMER, GLENN	ROAD DOGS	2003
SPENCER, CHRIS (I)	ROAD DOGS	2003
ARGENTI, ALEX	NINE	2009
CILENTI, ENZO	NINE	2009
COTILLARD, MARION	NINE	2009
CRUZ, PENÈLOPE	NINE	2009
DAY-LEWIS, DANIEL	NINE	2009
DENCH, JUDI	NINE	2009
DI STEFANO, ANDREA (I)	NINE	2009
FAYE, DENISE (I)	NINE	2009
HUDSON, KATE (I)	NINE	2009
HUGHES, TARA NICOLE	NINE	2009
KIDMAN, NICOLE	NINE	2009
LAMBERT, VICKY	NINE	2009
PICCIANO, GINO	NINE	2009
REMOTTI, REMO	NINE	2009
RIOTTA, VINCENT	NINE	2009
CADE, JOHN	ROUTE 666	2001
FARMER, GARY (I)	ROUTE 666	2001
FITZGERALD, ROB ROY	ROUTE 666	2001
HICKS, CHUCK (I)	ROUTE 666	2001
HUDIS, STEPHEN R.	ROUTE 666	2001
JONES, L.Q.	ROUTE 666	2001
LOCKHART, ANNE (I)	ROUTE 666	2001
LONG, MICHAEL R. (I)	ROUTE 666	2001
MCARTHUR, ALEX (I)	ROUTE 666	2001
MICHAELS, RHINO	ROUTE 666	2001
MIDKIFF, DALE	ROUTE 666	2001
MILLER, DICK (I)	ROUTE 666	2001
PETTY, LORI	ROUTE 666	2001
PHILLIPS, LOU DIAMOND	ROUTE 666	2001
PIEMONTE, PEEWEE	ROUTE 666	2001
THORSEN, SVEN-OLE	ROUTE 666	2001
VERNIER, ADAM	ROUTE 666	2001
WILLIAMS, STEVEN (I)	ROUTE 666	2001
BINEV, VELIZAR	SPIDERS II: BREEDING GROUND	2001
HENDERSON, GERALD (III)	SPIDERS II: BREEDING GROUND	2001
MOLL, RICHARD	SPIDERS II: BREEDING GROUND	2001
NIZNIK, STEPHANIE	SPIDERS II: BREEDING GROUND	2001
QUINN, DANIEL (I)	SPIDERS II: BREEDING GROUND	2001
VELEV, VELIMER	SPIDERS II: BREEDING GROUND	2001
FRIELS, COLIN	BACK OF BEYOND	1995
MERCURIO, PAUL	BACK OF BEYOND	1995
ALLEN, TODD (I)	GRAND CANYON	1991
CARPENTER, WILLIE C.	GRAND CANYON	1991
CERVANTES, GARY CARLOS	GRAND CANYON	1991
COLLINS JR., CLIFTON	GRAND CANYON	1991
FREEMAN, K. TODD	GRAND CANYON	1991
GLOVER, DANNY (I)	GRAND CANYON	1991
JONES, BRETT A.	GRAND CANYON	1991
KEHLER, JACK	GRAND CANYON	1991
KINGI, HENRY	GRAND CANYON	1991
KLINE, KEVIN (I)	GRAND CANYON	1991
LIFFORD, TINA	GRAND CANYON	1991
MALONE, PATRICK (I)	GRAND CANYON	1991
MARTIN, STEVE (I)	GRAND CANYON	1991
MCDONNELL, MARY (I)	GRAND CANYON	1991
PARKER, MARY-LOUISE	GRAND CANYON	1991
RICHMOND, BRANSCOMBE	GRAND CANYON	1991
SHELTON, MARLEY	GRAND CANYON	1991
SISTO, JEREMY	GRAND CANYON	1991
TRAINOR, MARY ELLEN	GRAND CANYON	1991
TRIGGER, SARAH	GRAND CANYON	1991
WALLACE, BASIL	GRAND CANYON	1991
WOODARD, ALFRE	GRAND CANYON	1991
BRAUN, WENDY	ANOTHER PRETTY FACE	2002
EMERY, JULIE ANN	ANOTHER PRETTY FACE	2002
JANIS, CONRAD	ANOTHER PRETTY FACE	2002
KIRKLAND, SALLY (I)	ANOTHER PRETTY FACE	2002
KRALJEVIC, IVAN	ANOTHER PRETTY FACE	2002
LIVELY, ROBYN	ANOTHER PRETTY FACE	2002
RIEHLE, RICHARD	ANOTHER PRETTY FACE	2002
SCHULTZ, WOODY	ANOTHER PRETTY FACE	2002
SHELTON, SAMANTHA	ANOTHER PRETTY FACE	2002
VAN PATTEN, DICK	ANOTHER PRETTY FACE	2002
ALLEY, BHANU	THE DOUBLE	2013
BLOMMAERT, SUSAN	THE DOUBLE	2013
BYRON, BRUCE (I)	THE DOUBLE	2013
CONSIDINE, PADDY	THE DOUBLE	2013
COX, NATHALIE	THE DOUBLE	2013
EISENBERG, JESSE	THE DOUBLE	2013
FOX, JAMES (I)	THE DOUBLE	2013
HAWKINS, SALLY (I)	THE DOUBLE	2013
MORIARTY, CATHY	THE DOUBLE	2013
O'DOWD, CHRIS	THE DOUBLE	2013
ROBERTS, CRAIG (IV)	THE DOUBLE	2013
ROHR, TONY	THE DOUBLE	2013
SERBEDZIJA, RADE	THE DOUBLE	2013
SHAWN, WALLACE	THE DOUBLE	2013
SOMERVILLE, PHYLLIS	THE DOUBLE	2013
TAYLOR, NOAH (I)	THE DOUBLE	2013
TSOU, CHUEN	THE DOUBLE	2013
WASIKOWSKA, MIA	THE DOUBLE	2013
BOY, BIG (I)	PROJECT X	2012
DAVIE, DARELL M.	PROJECT X	2012
DULANY, CAITLIN	PROJECT X	2012
DUNIGAN, KEVIN	PROJECT X	2012
GARDNER, PETE	PROJECT X	2012
KIMMEL, JIMMY	PROJECT X	2012
KLEBBA, MARTIN	PROJECT X	2012
KNAPP, ALEXIS	PROJECT X	2012
MACKENZIE, PETER (I)	PROJECT X	2012
MILLER, BRENDAN (I)	PROJECT X	2012
TELLER, MILES	PROJECT X	2012
ADAM, MARK (III)	THE FAMILY THAT PREYS	2008
AGUIRRE, CESAR (II)	THE FAMILY THAT PREYS	2008
BATES, KATHY (I)	THE FAMILY THAT PREYS	2008
BLANCHARD, TIM (I)	THE FAMILY THAT PREYS	2008
BROWN, BENJAMIN (I)	THE FAMILY THAT PREYS	2008
DUNBAR, ROCKMOND	THE FAMILY THAT PREYS	2008
GIVENS, ROBIN	THE FAMILY THAT PREYS	2008
HAUSER, COLE	THE FAMILY THAT PREYS	2008
HENSON, TARAJI P.	THE FAMILY THAT PREYS	2008
HERRERA, ROGER (II)	THE FAMILY THAT PREYS	2008
KAPLAN, ANDREW R.	THE FAMILY THAT PREYS	2008
LATHAN, SANAA	THE FAMILY THAT PREYS	2008
MAC, DON	THE FAMILY THAT PREYS	2008
MASER, AVON	THE FAMILY THAT PREYS	2008
MASSET, ANDREW	THE FAMILY THAT PREYS	2008
OLIVER, JAY (I)	THE FAMILY THAT PREYS	2008
PAGE, JOHN FITZGERALD	THE FAMILY THAT PREYS	2008
PERRY, TYLER (I)	THE FAMILY THAT PREYS	2008
SMITH, RON CLINTON	THE FAMILY THAT PREYS	2008
SNYDER, YLIAN ALFARO	THE FAMILY THAT PREYS	2008
STRICKLAND, KADEE	THE FAMILY THAT PREYS	2008
WOODARD, ALFRE	THE FAMILY THAT PREYS	2008
AUSTEN, MARC ALAN	BE KIND REWIND	2008
BLACK, JACK (I)	BE KIND REWIND	2008
BYRNE, P.J.	BE KIND REWIND	2008
DEF, MOS	BE KIND REWIND	2008
DIAZ, MELONIE	BE KIND REWIND	2008
FARROW, MIA	BE KIND REWIND	2008
GIRARDEAU, FRANK (I)	BE KIND REWIND	2008
GLASER, JON	BE KIND REWIND	2008
GLOVER, DANNY (I)	BE KIND REWIND	2008
HUGOT, MARCELINE	BE KIND REWIND	2008
PAPAS, LOUKAS	BE KIND REWIND	2008
TORMEY, JOHN (I)	BE KIND REWIND	2008
WALSH, MATT (I)	BE KIND REWIND	2008
WEAVER, SIGOURNEY	BE KIND REWIND	2008
WOODS JR., ALLIE	BE KIND REWIND	2008
ANTONINI, MARTY	PASSCHENDAELE	2008
BELLOWS, GIL	PASSCHENDAELE	2008
BROWN, DAVID (II)	PASSCHENDAELE	2008
CAREY, TOM (III)	PASSCHENDAELE	2008
DHAVERNAS, CAROLINE	PASSCHENDAELE	2008
DINICOL, JOE	PASSCHENDAELE	2008
GREYEYES, MICHAEL	PASSCHENDAELE	2008
HARRINGTON, ADAM (I)	PASSCHENDAELE	2008
JENSEN, BRIAN (I)	PASSCHENDAELE	2008
LEREANEY, DAVID	PASSCHENDAELE	2008
GASS, KYLE	DEAD AND GONE	2008
ROSE, FELISSA	DEAD AND GONE	2008
SHURE, GILLIAN	DEAD AND GONE	2008
WARD, ZACK (I)	DEAD AND GONE	2008
ASSANTE, ARMAND	TWO FOR THE MONEY	2005
BUNCH, JARROD	TWO FOR THE MONEY	2005
CARROLL, CHARLES (II)	TWO FOR THE MONEY	2005
CHAPMAN, KEVIN (I)	TWO FOR THE MONEY	2005
CROSS, KENDALL	TWO FOR THE MONEY	2005
DIMOPOULOS, STEPHEN	TWO FOR THE MONEY	2005
FERENCZI, ILDIKO	TWO FOR THE MONEY	2005
GARMAN, RALPH (I)	TWO FOR THE MONEY	2005
GRAF, DEREK	TWO FOR THE MONEY	2005
HOLMES, ADRIAN (I)	TWO FOR THE MONEY	2005
HUDSON, GARY (I)	TWO FOR THE MONEY	2005
KELLY, BRAD (I)	TWO FOR THE MONEY	2005
KING, JAIME	TWO FOR THE MONEY	2005
KIRK, JAMES (I)	TWO FOR THE MONEY	2005
LOVGREN, DAVID	TWO FOR THE MONEY	2005
MAKAJ, STEVE	TWO FOR THE MONEY	2005
MCCONAUGHEY, MATTHEW	TWO FOR THE MONEY	2005
MOSSLEY, ROBIN	TWO FOR THE MONEY	2005
MUSTILLO, LOUIS	TWO FOR THE MONEY	2005
NORTHEY, MICHAEL P.	TWO FOR THE MONEY	2005
PACINO, AL (I)	TWO FOR THE MONEY	2005
PIVEN, JEREMY	TWO FOR THE MONEY	2005
PLUNKETT, GERARD	TWO FOR THE MONEY	2005
POPE, CARLY	TWO FOR THE MONEY	2005
ROBERTS, TREVOR (I)	TWO FOR THE MONEY	2005
ROGERS, MICHAEL (V)	TWO FOR THE MONEY	2005
RUSSO, RENE (I)	TWO FOR THE MONEY	2005
SANDERS, JEFF (I)	TWO FOR THE MONEY	2005
SCHOMBING, JASON	TWO FOR THE MONEY	2005
SCOTT, MALCOLM (IV)	TWO FOR THE MONEY	2005
SOOD, VEENA	TWO FOR THE MONEY	2005
TAYLOR, WILLIAM S.	TWO FOR THE MONEY	2005
TELEK, APRIL	TWO FOR THE MONEY	2005
WARD, SUSAN (I)	TWO FOR THE MONEY	2005
WATANABE, GEDDE	TWO FOR THE MONEY	2005
ALBINET, VASILE	VLAD	2003
BUTUC, ZOLTAN	VLAD	2003
DOURIF, BRAD	VLAD	2003
HESKIN, KAM	VLAD	2003
HOSTINA, EMIL	VLAD	2003
IONESCU, IOAN	VLAD	2003
IRONS, NICHOLAS	VLAD	2003
PANC, ALIN	VLAD	2003
PINTEA, ADRIAN	VLAD	2003
QUINN, FRANCESCO	VLAD	2003
REVAN, ALEX	VLAD	2003
RHYS-DAVIES, JOHN	VLAD	2003
SINER, GUY	VLAD	2003
ZANE, BILLY	VLAD	2003
NORIEGA, EDUARDO (II)	EL ESPINAZO DEL DIABLO	2001
PAREDES, MARISA	EL ESPINAZO DEL DIABLO	2001
VELLIDO, JUAN CARLOS	EL ESPINAZO DEL DIABLO	2001
BOTET, JAVIER	MAMA	2013
CHASTAIN, JESSICA	MAMA	2013
COSTER-WALDAU, NIKOLAJ	MAMA	2013
CUZZOCREA, DOMINIC	MAMA	2013
FOX, DAVID (I)	MAMA	2013
KAHNERT, RAY	MAMA	2013
KASH, DANIEL (I)	MAMA	2013
MARREN, CHRISTOPHER	MAMA	2013
MOFFAT, JANE	MAMA	2013
AKIN, PHILIP	ROBOCOP	2014
ARNOTT, STEWART (I)	ROBOCOP	2014
BARUCHEL, JAY	ROBOCOP	2014
BLAKE, DALIAS	ROBOCOP	2014
BOOKER, JESSICA (I)	ROBOCOP	2014
CHANG, TOMMY (II)	ROBOCOP	2014
COLLINS, K.C.	ROBOCOP	2014
COOKE, MATT (I)	ROBOCOP	2014
CORNISH, ABBIE	ROBOCOP	2014
DOWNER, WAYNE	ROBOCOP	2014
EHLE, JENNIFER	ROBOCOP	2014
GARCIA, AIMEE	ROBOCOP	2014
GARROW, PATRICK	ROBOCOP	2014
GRENIER, ZACH	ROBOCOP	2014
HALEY, JACKIE EARLE	ROBOCOP	2014
HARE, KEVIN (I)	ROBOCOP	2014
II, WBBROWN	ROBOCOP	2014
JACKSON, SAMUEL L.	ROBOCOP	2014
JEAN-BAPTISTE, MARIANNE	ROBOCOP	2014
KASH, DANIEL (I)	ROBOCOP	2014
KEATON, MICHAEL	ROBOCOP	2014
KINNAMAN, JOEL	ROBOCOP	2014
MCLEAN, DWAYNE	ROBOCOP	2014
MITCHELL, THOMAS (II)	ROBOCOP	2014
MORROW, KIRBY	ROBOCOP	2014
OLDMAN, GARY	ROBOCOP	2014
PARILO, MARKUS	ROBOCOP	2014
RAMOS, DIEZEL (I)	ROBOCOP	2014
REDMAN, DEAN	ROBOCOP	2014
WILLIAMS, MICHAEL KENNETH	ROBOCOP	2014
AMENDOLA, TONY (I)	GREEN LANTERN: EMERALD KNIGHTS	2011
BLUM, STEVE (IX)	GREEN LANTERN: EMERALD KNIGHTS	2011
DELISLE, GREY	GREEN LANTERN: EMERALD KNIGHTS	2011
FILLION, NATHAN	GREEN LANTERN: EMERALD KNIGHTS	2011
HU, KELLY	GREEN LANTERN: EMERALD KNIGHTS	2011
ISAACS, JASON (I)	GREEN LANTERN: EMERALD KNIGHTS	2011
KAUFMAN, DAVID (I)	GREEN LANTERN: EMERALD KNIGHTS	2011
MOSS, ELISABETH	GREEN LANTERN: EMERALD KNIGHTS	2011
PIPER, RODDY	GREEN LANTERN: EMERALD KNIGHTS	2011
ROLLINS, HENRY	GREEN LANTERN: EMERALD KNIGHTS	2011
ROMANO, ANDREA (I)	GREEN LANTERN: EMERALD KNIGHTS	2011
TAYLOR, JAMES ARNOLD	GREEN LANTERN: EMERALD KNIGHTS	2011
THOMAS, BRUCE (I)	GREEN LANTERN: EMERALD KNIGHTS	2011
TIMM, BRUCE W.	GREEN LANTERN: EMERALD KNIGHTS	2011
VOSLOO, ARNOLD	GREEN LANTERN: EMERALD KNIGHTS	2011
WHITFIELD, MITCHELL	GREEN LANTERN: EMERALD KNIGHTS	2011
WILLIAMS, WADE (II)	GREEN LANTERN: EMERALD KNIGHTS	2011
YEO, GWENDOLINE	GREEN LANTERN: EMERALD KNIGHTS	2011
BENNETT, JONATHAN (I)	MEAN GIRLS	2004
CAPLAN, LIZZY	MEAN GIRLS	2004
CHABERT, LACEY	MEAN GIRLS	2004
CRAWFORD, EVE (I)	MEAN GIRLS	2004
DE CARTERET, LAURA	MEAN GIRLS	2004
FEY, TINA	MEAN GIRLS	2004
FISHER, SIMA	MEAN GIRLS	2004
FLYNN, NEIL (I)	MEAN GIRLS	2004
FRANZESE, DANIEL	MEAN GIRLS	2004
GASTEYER, ANA	MEAN GIRLS	2004
KLATTENHOFF, DIEGO	MEAN GIRLS	2004
LOHAN, LINDSAY	MEAN GIRLS	2004
MALEN, JONATHAN	MEAN GIRLS	2004
MCADAMS, RACHEL (I)	MEAN GIRLS	2004
MEADOWS, TIM	MEAN GIRLS	2004
MORRISON, JILL (I)	MEAN GIRLS	2004
NEWMAN, JACK (II)	MEAN GIRLS	2004
POEHLER, AMY	MEAN GIRLS	2004
PORTER, LES (I)	MEAN GIRLS	2004
RUSSO, TALIA	MEAN GIRLS	2004
SEYFRIED, AMANDA	MEAN GIRLS	2004
WILLMOTT, DAN	MEAN GIRLS	2004
GRAY, BRUCE (I)	DARK WATERS	2003
HANSSON, JOHN (II)	DARK WATERS	2003
LAMAS, LORENZO	DARK WATERS	2003
PINKHAM, TYRONE	DARK WATERS	2003
RANK, JEFF	DARK WATERS	2003
STANICHEVA, MARIANNE	DARK WATERS	2003
TALKINGTON, JONAS	DARK WATERS	2003
ZACHAR, ROBERT	DARK WATERS	2003
AIDEM, BETSY	MR. POPPER'S PENGUINS	2011
BASILE, JOSEPH	MR. POPPER'S PENGUINS	2011
CABAN, ANGEL	MR. POPPER'S PENGUINS	2011
CARREY, JIM	MR. POPPER'S PENGUINS	2011
CARROLL, MADELINE	MR. POPPER'S PENGUINS	2011
CHIANESE, DOMINIC	MR. POPPER'S PENGUINS	2011
COLON, DOMINIC (I)	MR. POPPER'S PENGUINS	2011
CONBOY, PETER	MR. POPPER'S PENGUINS	2011
D'ONOFRIO, JOE	MR. POPPER'S PENGUINS	2011
DAVIS, JULIE E.	MR. POPPER'S PENGUINS	2011
DELANEY, BRIAN T.	MR. POPPER'S PENGUINS	2011
GREGG, CLARK	MR. POPPER'S PENGUINS	2011
GUGINO, CARLA	MR. POPPER'S PENGUINS	2011
HALL, PHILIP BAKER	MR. POPPER'S PENGUINS	2011
HOWARD, ROSEMARY (II)	MR. POPPER'S PENGUINS	2011
KRUMHOLTZ, DAVID (I)	MR. POPPER'S PENGUINS	2011
LANSBURY, ANGELA	MR. POPPER'S PENGUINS	2011
LOVIBOND, OPHELIA	MR. POPPER'S PENGUINS	2011
MCKEE, DANIELLE	MR. POPPER'S PENGUINS	2011
MCLAIN, JEREMY	MR. POPPER'S PENGUINS	2011
MEREDIZ, OLGA	MR. POPPER'S PENGUINS	2011
STANTON, STEPHEN	MR. POPPER'S PENGUINS	2011
STEWART SHERMAN, DANIEL	MR. POPPER'S PENGUINS	2011
TAMBOR, JEFFREY	MR. POPPER'S PENGUINS	2011
TUPPER, JAMES	MR. POPPER'S PENGUINS	2011
WELKER, FRANK	MR. POPPER'S PENGUINS	2011
WOLF, MATTHEW (I)	MR. POPPER'S PENGUINS	2011
ANGLADE, JEAN-HUGUES	LA DOMENICA SPECIALMENTE	1991
DI PINTO, NICOLA	LA DOMENICA SPECIALMENTE	1991
GANZ, BRUNO	LA DOMENICA SPECIALMENTE	1991
MUTI, ORNELLA	LA DOMENICA SPECIALMENTE	1991
AHMED, AHMED (I)	SWINGERS	1996
CORMAN, MADDIE	SWINGERS	1996
DÈSERT, ALEX	SWINGERS	1996
FAVREAU, JON	SWINGERS	1996
GRAHAM, HEATHER (I)	SWINGERS	1996
HACKFORD, RIO	SWINGERS	1996
ITTLESON, STEPHANIE	SWINGERS	1996
KENDALL, KATHERINE (I)	SWINGERS	1996
LANGTON, BROOKE	SWINGERS	1996
LEMOLE, SAMANTHA	SWINGERS	1996
LINDSLEY, BLAKE	SWINGERS	1996
LIVINGSTON, RON (I)	SWINGERS	1996
SHAW, PAMELA (II)	SWINGERS	1996
TERMATH, STEVE J.	SWINGERS	1996
VAUGHN, VINCE	SWINGERS	1996
BEAUDOIN, MICHELLE (I)	GINGER SNAPS 2: UNLEASHED	2004
FLETCHER, BRENDAN (I)	GINGER SNAPS 2: UNLEASHED	2004
HUTTON, PASCALE	GINGER SNAPS 2: UNLEASHED	2004
IDLETTE, PATRICIA	GINGER SNAPS 2: UNLEASHED	2004
ISABELLE, KATHARINE	GINGER SNAPS 2: UNLEASHED	2004
JOHNSON, ERIC (I)	GINGER SNAPS 2: UNLEASHED	2004
JOHNSTON, SHAUN (I)	GINGER SNAPS 2: UNLEASHED	2004
KIDDER, JANET	GINGER SNAPS 2: UNLEASHED	2004
MASLANY, TATIANA	GINGER SNAPS 2: UNLEASHED	2004
MCKINNON, JAKE	GINGER SNAPS 2: UNLEASHED	2004
PERKINS, EMILY (I)	GINGER SNAPS 2: UNLEASHED	2004
BAUMAN, ALYSSA	STUCK IN LOVE	2012
BELL, KRISTEN (I)	STUCK IN LOVE	2012
BRESLIN, SPENCER	STUCK IN LOVE	2012
COLLINS, LILY (I)	STUCK IN LOVE	2012
CONNELLY, JENNIFER	STUCK IN LOVE	2012
COZORT, CHRISTOPHER	STUCK IN LOVE	2012
GOODWIN, MICHAEL (I)	STUCK IN LOVE	2012
GRAZIO, RANDY	STUCK IN LOVE	2012
KING, STEPHEN (I)	STUCK IN LOVE	2012
KINNEAR, GREG	STUCK IN LOVE	2012
LERMAN, LOGAN	STUCK IN LOVE	2012
LIBERATO, LIANA	STUCK IN LOVE	2012
MALINA, KAREN	STUCK IN LOVE	2012
MONTANTI, JOE	STUCK IN LOVE	2012
POWELL, GLEN (I)	STUCK IN LOVE	2012
WANNAMAKER, MILLIE	STUCK IN LOVE	2012
WEETMAN, BARBARA	STUCK IN LOVE	2012
WOLFF, NAT	STUCK IN LOVE	2012
CHAN, DENNIS (I)	WONG GA JIN SI	1986
CHUN, PAUL	WONG GA JIN SI	1986
LAU, SIU-MING	WONG GA JIN SI	1986
SANADA, HIROYUKI	WONG GA JIN SI	1986
TSANG, KENNETH	WONG GA JIN SI	1986
WONG, MICHAEL (I)	WONG GA JIN SI	1986
YEOH, MICHELLE	WONG GA JIN SI	1986
BAHAROV, ZAHARY	NATURE UNLEASHED: AVALANCHE	2004
GANEV, VALENTIN	NATURE UNLEASHED: AVALANCHE	2004
GRIVES, STEVEN	NATURE UNLEASHED: AVALANCHE	2004
HAMMOND, ROGER (I)	NATURE UNLEASHED: AVALANCHE	2004
MANASSIEV, PLAMEN	NATURE UNLEASHED: AVALANCHE	2004
MARKOVSKA, VIOLETA	NATURE UNLEASHED: AVALANCHE	2004
SOTIROV, NIKOLAI	NATURE UNLEASHED: AVALANCHE	2004
SREBREV, ATANAS	NATURE UNLEASHED: AVALANCHE	2004
TRENDAFILOV, ANTON	NATURE UNLEASHED: AVALANCHE	2004
LAZAR, DORINA	SAINT ANGE	2004
LEDOYEN, VIRGINIE	SAINT ANGE	2004
AVITAL, MILI	DEAD MAN	1995
BYRD, EUGENE	DEAD MAN	1995
BYRNE, GABRIEL	DEAD MAN	1995
DEPP, JOHNNY	DEAD MAN	1995
FARMER, GARY (I)	DEAD MAN	1995
GLOVER, CRISPIN	DEAD MAN	1995
HARRIS, JARED (I)	DEAD MAN	1995
HENRIKSEN, LANCE	DEAD MAN	1995
HURT, JOHN	DEAD MAN	1995
MITCHUM, ROBERT	DEAD MAN	1995
MOLINA, ALFRED	DEAD MAN	1995
POP, IGGY	DEAD MAN	1995
THORNTON, BILLY BOB	DEAD MAN	1995
WINCOTT, MICHAEL	DEAD MAN	1995
CASTELLITTO, SERGIO	LAGUNA	2001
CAVILL, HENRY	LAGUNA	2001
DOUGLAS, SAM (I)	LAGUNA	2001
MANTEGNA, JOE	LAGUNA	2001
SEIGNER, EMMANUELLE	LAGUNA	2001
SERPICO, TERRY	LAGUNA	2001
ANDERSON-GUNTER, JEFFREY	ONLY THE STRONG	1993
BOLLMAN, RYAN	ONLY THE STRONG	1993
BUCARO III, JOE	ONLY THE STRONG	1993
COCA, RICHARD	ONLY THE STRONG	1993
CORONE, ANTONI	ONLY THE STRONG	1993
DACASCOS, MARK	ONLY THE STRONG	1993
KATO, SERGIO	ONLY THE STRONG	1993
LEWIS, GEOFFREY (I)	ONLY THE STRONG	1993
SALVANO, GINO	ONLY THE STRONG	1993
SUSMAN, TODD	ONLY THE STRONG	1993
TRAVIS, STACEY (I)	ONLY THE STRONG	1993
APT, LUKA	FINGERPRINTS	2006
COX, DARRYL (I)	FINGERPRINTS	2006
HENDERSON, JOSH (I)	FINGERPRINTS	2006
KIRKLAND, SALLY (I)	FINGERPRINTS	2006
LEWIS, GEOFFREY (I)	FINGERPRINTS	2006
PHILLIPS, LOU DIAMOND	FINGERPRINTS	2006
BRADLEY, DAVID (IV)	ANOTHER YEAR	2010
BROADBENT, JIM	ANOTHER YEAR	2010
DAVIS, PHILIP (I)	ANOTHER YEAR	2010
INESON, RALPH	ANOTHER YEAR	2010
MANVILLE, LESLEY	ANOTHER YEAR	2010
MCQUARRIE, STUART	ANOTHER YEAR	2010
SAVAGE, MARTIN (I)	ANOTHER YEAR	2010
SHEEN, RUTH	ANOTHER YEAR	2010
STAUNTON, IMELDA	ANOTHER YEAR	2010
UZZAMAN, BADI	ANOTHER YEAR	2010
WIGHT, PETER	ANOTHER YEAR	2010
AIELLO, DANNY	MISTRESS	1992
BAGLEY, TIM	MISTRESS	1992
BECKER, GRETCHEN	MISTRESS	1992
BORGNINE, ERNEST	MISTRESS	1992
DE NIRO, ROBERT	MISTRESS	1992
GIERASCH, STEFAN	MISTRESS	1992
KNIGHT, TUESDAY	MISTRESS	1992
LANDAU, MARTIN	MISTRESS	1992
METCALF, LAURIE	MISTRESS	1992
RALPH, SHERYL LEE	MISTRESS	1992
SIMEK, VASEK	MISTRESS	1992
SMART, JEAN	MISTRESS	1992
WALKEN, CHRISTOPHER	MISTRESS	1992
WALLACH, ELI	MISTRESS	1992
WUHL, ROBERT	MISTRESS	1992
BARTOK, JAYCE	WHY STOP NOW?	2012
BASILE, JOSEPH	WHY STOP NOW?	2012
